Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cpr 100 mg;2,60;HEXAL SpA;029198025;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 cpr 100 mg;2,60;DOC GENERICI Srl;033578016;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;ALGIMESIL*30 bust grat 100 mg;2,62;FRANCIA FARMAC.IND.FAR.BIO.Srl;029074010;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;ALGIMESIL*30 cpr 100 mg;2,62;FRANCIA FARMAC.IND.FAR.BIO.Srl;029074022;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULIDE*30 bust grat 100 mg;2,62;BENEDETTI & CO.SpA;028921029;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;SOLVING*30 bust grat 100 mg;2,62;MDM SpA;032930036;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;SOLVING*30 cpr 100 mg;2,62;MDM SpA;032930012;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;SULIDAMOR*30 bust grat 100 mg;2,62;FARMAC.DAMOR SpA;028705022;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;SULIDAMOR*30 cpr 100 mg;2,62;FARMAC.DAMOR SpA;028705046;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;NIMESULENE*os grat 30 bust 100 mg;4,07;LAB.GUIDOTTI SpA;029007059;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;ALGOLIDER*30 bust grat 100 mg;4,15;SIAR PHARMA Srl;028509026;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;AULIN*30 bust grat 100 mg;4,43;HELSINN BIREX PHARMAC.LTD;025940053;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;AULIN*30 cpr 100 mg;4,43;HELSINN BIREX PHARMAC.LTD;025940026;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;REMOV*30 cpr 100 mg;4,43;PIAM FARMACEUTICI SpA;028799017;32A;X;;
Nimesulide;NIMESULIDE 100MG 30 UNITA' USO ORALE;REMOV*os grat 30 bust 100 mg;4,43;PIAM FARMACEUTICI SpA;028799031;32A;X;;
Nimesulide betaciclodestrina;NIMESULIDE BETACICLODESTRINA 400MG 30 UNITA' USO ORALE;NIMEDEX*30 bust grat 400 mg;11,35;ITALFARMACO SpA;029120021;32Z;;;
Nisoldipina;NISOLDIPINA 10MG 24 UNITA' USO ORALE;SYSCOR*24 cpr riv 10 mg;10,21;BAYER SpA;026667028;PFA;;;
Nistatina;NISTATINA 100.000UI/ML 100ML USO ORALE;MYCOSTATIN*os sosp 100.000 UI/ml 100 ml;6,34;BRISTOL-MYERS SQUIBB Srl;010058030;PGA;;;
Nitisinone;NITISINONE 2MG 60 UNITA' USO ORALE;ORFADIN*60 cps 2 mg flacone;1320,31;SWEDISH ORPHAN BIOVITRUM Srl;036870018;TMA;;;
Nitisinone;NITISINONE 5MG 60 UNITA' USO ORALE;ORFADIN*60 cps 5 mg flacone;2640,63;SWEDISH ORPHAN BIOVITRUM Srl;036870020;TMB;;;
Nitisinone;NITISINONE 10MG 60 UNITA' USO ORALE;ORFADIN*60 cps 10 mg flacone;4786,17;SWEDISH ORPHAN BIOVITRUM Srl;036870032;TMC;;;
Nitrendipina;NITRENDIPINA 20MG 28 UNITA' USO ORALE;BAYPRESS*28 cpr 20 mg;13,90;BAYER SpA;026232013;BQA;;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;ADESICOR*15 cerotti transd 5 mg/die;6,08;CIPROS Srl;036941019;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NIREDIL*15 cerotti transd 5 mg/die;6,08;SPA (SOC.PRO.ANTIBIOTICI) SpA;036999011;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 5 mg/die;6,08;DOC GENERICI Srl;036942011;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 5 mg/die;6,08;S.F.GROUP Srl;036970010;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 5 mg/die;6,08;TEVA ITALIA Srl;041305018;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 5 mg/die;6,08;SANDOZ SpA;042215018;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;DEPONIT*15 cerotti transd 5 mg/die;7,37;UCB PHARMA SpA;026070019;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;DERMATRANS*15 cerotti transd 5 mg/die;8,11;ROTTAPHARM LTD;034861017;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;EPINITRIL*15 cerotti transd 5 mg/die;8,11;ROTTAPHARM SpA;034860015;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;KERITRINA*15 cerotti transd 5 mg/die;8,11;CRINOS SpA;032784011;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;MINITRAN*15 cerotti transd 5 mg/die;8,11;MEDA PHARMA SpA;027028012;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITRAKET*15 cerotti transd 5 mg/die;8,11;MEDA PHARMA SpA;035157015;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROCOR*15 cerotti transd 5 mg/die;8,11;MYLAN SpA;034867046;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITRODUR*15 cerotti transd 5 mg/die;8,11;SIGMATAU IND.FARM.RIUNITE SpA;025224116;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROSYLON*15 cerotti transd 5 mg/die;8,11;LAVIPHARM Srl;029029016;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;TRINIPLAS*15 cerotti transd 5 mg/die;8,11;CHIESI FARMACEUTICI SpA;029030044;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;VENITRIN*15 cerotti transd 5 mg/die;8,11;MEDA PHARMA SpA;018128037;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;ADESITRIN*15 cerotti transd 5 mg/die;8,19;PFIZER ITALIA Srl;026068015;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITRODERM TTS*15 cerotti transd 5 mg/die;8,19;NOVARTIS FARMA SpA;025193018;A8A;X;;
Nitroglicerina;NITROGLICERINA 5MG/DIE 15 CEROTTI USO TRANSDERMICO;TOPNITRO*15 cerotti transd 5 mg/die;8,19;MSD ITALIA Srl;028564021;A8A;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;ADESICOR*15 cerotti transd 10 mg/die;6,86;CIPROS Srl;036941021;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NIREDIL*15 cerotti transd 10 mg/die;6,86;SPA (SOC.PRO.ANTIBIOTICI) SpA;036999023;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 10 mg/die;6,86;DOC GENERICI Srl;036942023;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 10 mg/die;6,86;S.F.GROUP Srl;036970022;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 10 mg/die;6,86;TEVA ITALIA Srl;041305020;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 10 mg/die;6,86;SANDOZ SpA;042215020;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;DEPONIT*15 cerotti transd 10 mg/die;8,31;UCB PHARMA SpA;026070021;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;DERMATRANS*15 cerotti transd 10 mg/die;9,14;ROTTAPHARM LTD;034861031;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;EPINITRIL*15 cerotti transd 10 mg/die;9,14;ROTTAPHARM SpA;034860039;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;KERITRINA*15 cerotti transd 10 mg/die;9,14;CRINOS SpA;032784023;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;MINITRAN*15 cerotti transd 10 mg/die;9,14;MEDA PHARMA SpA;027028024;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NITRAKET*15 cerotti transd 10 mg/die;9,14;MEDA PHARMA SpA;035157027;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROCOR*15 cerotti transd 10 mg/die;9,14;MYLAN SpA;034867059;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NITRODUR*15 cerotti transd 10 mg/die;9,14;SIGMATAU IND.FARM.RIUNITE SpA;025224130;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROSYLON*15 cerotti transd 10 mg/die;9,14;LAVIPHARM Srl;029029028;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;TRINIPLAS*15 cerotti transd 10 mg/die;9,14;CHIESI FARMACEUTICI SpA;029030057;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;VENITRIN*15 cerotti transd 10 mg/die;9,14;MEDA PHARMA SpA;018128049;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;ADESITRIN*15 cerotti transd 10 mg/die;9,37;PFIZER ITALIA Srl;026068027;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;NITRODERM TTS*15 cerotti transd 10 mg/die;9,37;NOVARTIS FARMA SpA;025193020;A8B;X;;
Nitroglicerina;NITROGLICERINA 10MG/DIE 15 CEROTTI USO TRANSDERMICO;TOPNITRO*15 cerotti transd 10 mg/die;9,37;MSD ITALIA Srl;028564045;A8B;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;ADESICOR*15 cerotti transd 15 mg/die;9,63;CIPROS Srl;036941033;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;NIREDIL*15 cerotti transd 15 mg/die;9,63;SPA (SOC.PRO.ANTIBIOTICI) SpA;036999035;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 15 mg/die;9,63;DOC GENERICI Srl;036942035;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 15 mg/die;9,63;S.F.GROUP Srl;036970034;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 15 mg/die;9,63;TEVA ITALIA Srl;041305032;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROGLICERINA*15 cerotti transd 15 mg/die;9,63;SANDOZ SpA;042215032;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;DEPONIT*15 cerotti transd 15 mg/die;11,66;UCB PHARMA SpA;026070033;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;DERMATRANS*15 cerotti transd 15 mg/die;12,83;ROTTAPHARM LTD;034861056;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;EPINITRIL*15 cerotti transd 15 mg/die;12,83;ROTTAPHARM SpA;034860054;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;KERITRINA*15 cerotti transd 15 mg/die;12,83;CRINOS SpA;032784035;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;MINITRAN*15 cerotti transd 15 mg/die;12,83;MEDA PHARMA SpA;027028036;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;NITRAKET*15 cerotti transd 15 mg/die;12,83;MEDA PHARMA SpA;035157039;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROCOR*15 cerotti transd 15 mg/die;12,83;MYLAN SpA;034867061;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;NITROSYLON*15 cerotti transd 15 mg/die;12,83;LAVIPHARM Srl;029029030;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;TRINIPLAS*15 cerotti transd 15 mg/die;12,83;CHIESI FARMACEUTICI SpA;029030069;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;VENITRIN*15 cerotti transd 15 mg/die;12,83;MEDA PHARMA SpA;018128052;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;ADESITRIN*15 cerotti transd 15 mg/die;14,00;PFIZER ITALIA Srl;026068039;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 15 CEROTTI USO TRANSDERMICO;NITRODERM TTS*15 cerotti transd 15 mg/die;14,00;NOVARTIS FARMA SpA;025193032;A8C;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 10 CEROTTI USO TRANSDERMICO;NITRODUR*10 cerotti transd 15 mg/die;9,32;SIGMATAU IND.FARM.RIUNITE SpA;025224142;A8D;X;;
Nitroglicerina;NITROGLICERINA 15MG/DIE 10 CEROTTI USO TRANSDERMICO;TOPNITRO*10 cerotti transd 15 mg/die;9,32;MSD ITALIA Srl;028564058;A8D;X;;
Nitroglicerina;NITROGLICERINA 7,5MG/DIE 15 CEROTTI USO TRANSDERMICO;NITRODUR*15 cerotti transd 7,5 mg/die;8,54;SIGMATAU IND.FARM.RIUNITE SpA;025224128;A8E;;;
Nitroglicerina;NITROGLICERINA 7,5MG/DIE 15 CEROTTI USO TRANSDERMICO;TOPNITRO*15 cerotti transd 7,5 mg/die;8,54;MSD ITALIA Srl;028564033;A8E;;;
Nitroglicerina;NITROGLICERINA 0,3MG 70 UNITA' USO ORALE;TRINITRINA*70 cpr riv 0,3 mg;3,72;PHARMAFAR Srl;006035063;A8F;;;
Nizatidina;NIZATIDINA 300MG 10 UNITA' USO ORALE;NIZAX*10 cps 300 mg;11,97;TEOFARMA Srl;026616021;BRA;;;
Nizatidina;NIZATIDINA 150MG 20 UNITA' USO ORALE;CRONIZAT*20 cps 150 mg;11,58;FARMAC.CABER SpA;026617011;BRB;;Toscana;
Nizatidina;NIZATIDINA 150MG 20 UNITA' USO ORALE;NIZAX*20 cps 150 mg;12,55;TEOFARMA Srl;026616019;BRB;;Toscana;
Nomegestrolo;NOMEGESTROLO 5MG 30 UNITA' USO ORALE;NOMEGESTROL*30 cpr 5 mg;8,45;FARMITALIA Srl;038709010;EOA;X;;
Nomegestrolo;NOMEGESTROLO 5MG 30 UNITA' USO ORALE;LUTENYL*30 cpr 5 mg;13,62;THERAMEX Srl;028199014;EOA;X;;
Nonacog alfa (fattore IX di coagulazione, ricombinante);NONACOG ALFA 1.000UI 1 UNITA' USO PARENTERALE;BENEFIX*1 flacone EV 1.000 UI + 1 siringa 5 ml solv;1137,90;PFIZER ITALIA Srl;033535067;PHA;;;
Nonacog alfa (fattore IX di coagulazione, ricombinante);NONACOG ALFA 2.000UI 1 UNITA' USO PARENTERALE;BENEFIX*1 flacone EV 2.000 UI + 1 siringa 5 ml solv;2275,82;PFIZER ITALIA Srl;033535079;PHB;;;
Nonacog alfa (fattore IX di coagulazione, ricombinante);NONACOG ALFA 250UI 1 UNITA' USO PARENTERALE;BENEFIX*1 flacone EV 250 UI + 1 siringa 5 ml solv;284,48;PFIZER ITALIA Srl;033535042;PHC;;;
Nonacog alfa (fattore IX di coagulazione, ricombinante);NONACOG ALFA 500UI 1 UNITA' USO PARENTERALE;BENEFIX*1 flacone EV 500 UI + 1 siringa 5 ml solv;568,95;PFIZER ITALIA Srl;033535055;PHD;;;
Nonacog alfa (fattore IX di coagulazione, ricombinante);NONACOG ALFA 3.000UI 1 UNITA' USO PARENTERALE;BENEFIX*1 flacone EV 3.000 UI + 1 siringa 5 ml solv + set infusione;3413,78;PFIZER ITALIA Srl;033535081;PHE;;;
Noretisterone;NORETISTERONE 10MG 30 UNITA' USO ORALE;PRIMOLUT NOR*30 cpr 10 mg;5,68;BAYER SpA;021053018;PIA;;;
Norfloxacina;NORFLOXACINA 400MG 14 UNITA' USO ORALE;NORFLOXACINA*14 cpr riv 400 mg;3,97;EG SpA;034401024;A9B;X;;
Norfloxacina;NORFLOXACINA 400MG 14 UNITA' USO ORALE;NORFLOXACINA*14 cpr riv 400 mg;3,97;SANDOZ SpA;034941043;A9B;X;;
Norfloxacina;NORFLOXACINA 400MG 14 UNITA' USO ORALE;NORFLOXACINA*14 cps 400 mg;3,97;ABC FARMACEUTICI SpA;025000023;A9B;X;;
Norfloxacina;NORFLOXACINA 540MG 14 UNITA' USO ORALE;NORFLOX*14 cpr 540 mg;11,13;BIOMEDICA FOSCAMA GROUP SpA;027405012;A9Z;;;
Nortriptilina;NORTRIPTILINA 10MG 30 UNITA' USO ORALE;NORITREN*30 cpr riv 10 mg;1,86;LUNDBECK ITALIA SpA;021153010;PJA;;;
Nortriptilina;NORTRIPTILINA 25MG 30 UNITA' USO ORALE;NORITREN*30 cpr riv 25 mg;2,89;LUNDBECK ITALIA SpA;021153022;PJB;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 1.000UI 2,5ML 1 UNITA' USO PARENTERALE;HELIXATE NEXGEN*1 flaconcino 1.000 UI + 1 flaconcino solv + kit;1133,64;CSL BEHRING SpA;034956033;LMA;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 1.000UI 2,5ML 1 UNITA' USO PARENTERALE;KOGENATE BAYER*1 fiala EV 1.000 UI + 1 siringa + 1 kit;1133,64;BAYER SpA;034955068;LMA;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA III GENERAZIONE 1.000UI 5ML 1 UNITA' USO PARENTERALE;ADVATE*1 flaconcino EV 1.000 UI + 1 flaconcino solv 5 ml;1072,76;BAXTER SpA;036160036;LMD;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA III GENERAZIONE 1.500UI 5ML 1 UNITA' USO PARENTERALE;ADVATE*1 flaconcino EV 1.500 UI + 1 flaconcino solv 5 ml;1609,14;BAXTER SpA;036160048;LME;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 2.000UI 5ML 1 UNITA' USO PARENTERALE;HELIXATE NEXGEN*1 flaconcino 2.000 UI + 1 flaconcino solv 5 ml + kit;2267,28;CSL BEHRING SpA;034956045;LMG;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 2.000UI 5ML 1 UNITA' USO PARENTERALE;KOGENATE BAYER*1 flaconcino 2.000 UI + 1 flaconcino solv 5 ml + kit;2267,28;BAYER SpA;034955106;LMG;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 250UI 2,5ML 1 UNITA' USO PARENTERALE;HELIXATE NEXGEN*1 flaconcino EV 250 UI + 1 flaconcino solv + kit;283,41;CSL BEHRING SpA;034956019;LMH;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 250UI 2,5ML 1 UNITA' USO PARENTERALE;KOGENATE BAYER*1 fiala EV 250 UI + 1 siringa + 1 kit;283,41;BAYER SpA;034955043;LMH;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA III GENERAZIONE 250UI 5ML 1 UNITA' USO PARENTERALE;ADVATE*1 flaconcino EV 250 UI + 1 flaconcino solv 5 ml;268,19;BAXTER SpA;036160012;LMJ;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 3.000UI 5ML 1 UNITA' USO PARENTERALE;HELIXATE NEXGEN*1 flaconcino EV 3.000 UI + 1 flaconcino solv + kit;3400,90;CSL BEHRING SpA;034956058;LMK;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 3.000UI 5ML 1 UNITA' USO PARENTERALE;KOGENATE BAYER*1 siringa 3.000 UI + 1 flaconcino solv 5 ml;3400,90;BAYER SpA;034955120;LMK;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 500UI 2,5ML 1 UNITA' USO PARENTERALE;HELIXATE NEXGEN*1 flaconcino EV 500 UI + 1 flaconcino solv + kit;566,82;CSL BEHRING SpA;034956021;LML;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA II GENERAZIONE 500UI 2,5ML 1 UNITA' USO PARENTERALE;KOGENATE BAYER*1 fiala EV 500 UI + 1 siringa + 1 kit;566,82;BAYER SpA;034955056;LML;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA III GENERAZIONE 500UI 5ML 1 UNITA' USO PARENTERALE;ADVATE*1 flaconcino EV 500 UI + 1 flaconcino solv 5 ml;536,38;BAXTER SpA;036160024;LMN;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA III GENERAZIONE 2.000UI 5ML 1 UNITA' USO PARENTERALE;ADVATE*1 flaconcino EV 2.000 UI + 1 flaconcino solv 5 ml + kit;2145,52;BAXTER SpA;036160051;LMO;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA III GENERAZIONE 3.000UI 5ML 1 UNITA' USO PARENTERALE;ADVATE*1 flaconcino EV 3.000 UI + 1 flaconcino solv 5 ml;3218,28;BAXTER SpA;036160063;LMP;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA I GENERAZIONE 250UI 1 UNITA' USO PARENTERALE;RECOMBINATE*1 flacone EV 250 UI + 1 flacone solv 10 ml;247,56;BAXTER SpA;028687010;LMQ;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA I GENERAZIONE 500UI 1 UNITA' USO PARENTERALE;RECOMBINATE*1 flacone EV 500 UI + 1 flacone solv 10 ml;495,12;BAXTER SpA;028687022;LMR;;;
Octocog alfa (Fattore VIII di coagulazione, ricombinante);OCTOCOG ALFA I GENERAZIONE 1.000UI 1 UNITA' USO PARENTERALE;RECOMBINATE*1 flacone EV 1.000 UI + 1 flacone solv 10 ml;990,25;BAXTER SpA;028687034;LMS;;;
Octreotide;OCTREOTIDE 100MCG 5 UNITA' USO PARENTERALE;OCTREOTIDE*5 fiale EV SC 0,1 mg/1 ml;26,80;SUN PHARMACEUTICALS ITALIA Srl;041156023;E2A;X;;
Octreotide;OCTREOTIDE 100MCG 5 UNITA' USO PARENTERALE;OCTREOTIDE*5 flaconcini EV SC 0,1 mg/1 ml;29,49;HOSPIRA ITALIA Srl;038113027;E2A;X;;
Octreotide;OCTREOTIDE 100MCG 5 UNITA' USO PARENTERALE;SIROCTID*5 siringhe 1 ml 0,1mg/ml;33,51;CHEMI SpA;039101047;E2A;X;;
Octreotide;OCTREOTIDE 100MCG 5 UNITA' USO PARENTERALE;TREOJECT*5 siringhe EV SC 1 ml 0,1 mg/ml;33,51;LIFEPHARMA SpA;039100045;E2A;X;;
Octreotide;OCTREOTIDE 100MCG 5 UNITA' USO PARENTERALE;LONGASTATINA*5 fiale EV SC 0,1 mg 1 ml;53,18;ITALFARMACO SpA;027104025;E2A;X;;
Octreotide;OCTREOTIDE 100MCG 5 UNITA' USO PARENTERALE;SANDOSTATINA*5 fiale EV SC 0,1 mg 1 ml;53,18;NOVARTIS FARMA SpA;027083029;E2A;X;;
Octreotide;OCTREOTIDE 50MCG 5 UNITA' USO PARENTERALE;OCTREOTIDE*5 fiale EV SC 0,05 mg 1 ml;15,99;SUN PHARMACEUTICALS ITALIA Srl;041156011;E2B;X;;
Octreotide;OCTREOTIDE 50MCG 5 UNITA' USO PARENTERALE;OCTREOTIDE*5 flaconcini EV SC 0,05 mg/1 ml;17,60;HOSPIRA ITALIA Srl;038113015;E2B;X;;
Octreotide;OCTREOTIDE 50MCG 5 UNITA' USO PARENTERALE;SIROCTID*5 siringhe 1 ml 0,05 mg/ml;20,00;CHEMI SpA;039101011;E2B;X;;
Octreotide;OCTREOTIDE 50MCG 5 UNITA' USO PARENTERALE;TREOJECT*5 siringhe EV SC 1 ml 0,05 mg/ml;20,00;LIFEPHARMA SpA;039100019;E2B;X;;
Octreotide;OCTREOTIDE 50MCG 5 UNITA' USO PARENTERALE;LONGASTATINA*5 fiale EV SC 0,05 mg 1 ml;28,57;ITALFARMACO SpA;027104013;E2B;X;;
Octreotide;OCTREOTIDE 50MCG 5 UNITA' USO PARENTERALE;SANDOSTATINA*5 fiale EV SC 0,05 mg 1 ml;28,57;NOVARTIS FARMA SpA;027083017;E2B;X;;
Octreotide;OCTREOTIDE 1MG 1 UNITA' USO PARENTERALE;OCTREOTIDE*1 flaconcino SC 1 mg 5 ml;50,98;SUN PHARMACEUTICALS ITALIA Srl;041156047;E2C;X;;
